taxid,parent,taxonomic_rank,scientific_name
taxon:1 [root]@no rank,taxon:1 [root]@no rank,no rank,root
taxon:131567 [cellular organisms]@cellular root,taxon:1 [root]@no rank,cellular root,cellular organisms
taxon:2759 [Eukaryota]@domain,taxon:131567 [cellular organisms]@cellular root,domain,Eukaryota
taxon:33154 [Opisthokonta]@clade,taxon:2759 [Eukaryota]@domain,clade,Opisthokonta
taxon:33208 [Metazoa]@kingdom,taxon:33154 [Opisthokonta]@clade,kingdom,Metazoa
taxon:6072 [Eumetazoa]@clade,taxon:33208 [Metazoa]@kingdom,clade,Eumetazoa
taxon:6073 [Cnidaria]@phylum,taxon:6072 [Eumetazoa]@clade,phylum,Cnidaria
taxon:6142 [Scyphozoa]@class,taxon:6073 [Cnidaria]@phylum,class,Scyphozoa
taxon:33213 [Bilateria]@clade,taxon:6072 [Eumetazoa]@clade,clade,Bilateria
taxon:33511 [Deuterostomia]@clade,taxon:33213 [Bilateria]@clade,clade,Deuterostomia
taxon:37535 [Rhizostomeae]@order,taxon:6142 [Scyphozoa]@class,order,Rhizostomeae
taxon:2576883 [Stomolophidae]@family,taxon:37535 [Rhizostomeae]@order,family,Stomolophidae
taxon:33317 [Protostomia]@clade,taxon:33213 [Bilateria]@clade,clade,Protostomia
taxon:7711 [Chordata]@phylum,taxon:33511 [Deuterostomia]@clade,phylum,Chordata
taxon:1206794 [Ecdysozoa]@clade,taxon:33317 [Protostomia]@clade,clade,Ecdysozoa
taxon:89593 [Craniata]@subphylum,taxon:7711 [Chordata]@phylum,subphylum,Craniata
taxon:2697495 [Spiralia]@clade,taxon:33317 [Protostomia]@clade,clade,Spiralia
taxon:7742 [Vertebrata]@clade,taxon:89593 [Craniata]@subphylum,clade,Vertebrata
taxon:168795 [Stomolophus]@genus,taxon:2576883 [Stomolophidae]@family,genus,Stomolophus
taxon:1206795 [Lophotrochozoa]@clade,taxon:2697495 [Spiralia]@clade,clade,Lophotrochozoa
taxon:88770 [Panarthropoda]@clade,taxon:1206794 [Ecdysozoa]@clade,clade,Panarthropoda
taxon:6447 [Mollusca]@phylum,taxon:1206795 [Lophotrochozoa]@clade,phylum,Mollusca
taxon:6231 [Nematoda]@phylum,taxon:1206794 [Ecdysozoa]@clade,phylum,Nematoda
taxon:168796 [Stomolophus meleagris]@species,taxon:168795 [Stomolophus]@genus,species,Stomolophus meleagris
taxon:6217 [Nemertea]@phylum,taxon:1206795 [Lophotrochozoa]@clade,phylum,Nemertea
taxon:6656 [Arthropoda]@phylum,taxon:88770 [Panarthropoda]@clade,phylum,Arthropoda
taxon:6843 [Chelicerata]@subphylum,taxon:6656 [Arthropoda]@phylum,subphylum,Chelicerata
taxon:1476529 [Cyclostomata]@clade,taxon:7742 [Vertebrata]@clade,clade,Cyclostomata
taxon:6218 [Pilidiophora]@class,taxon:6217 [Nemertea]@phylum,class,Pilidiophora
taxon:1215728 [Scalidophora]@superphylum,taxon:1206794 [Ecdysozoa]@clade,superphylum,Scalidophora
taxon:7776 [Gnathostomata]@clade,taxon:7742 [Vertebrata]@clade,clade,Gnathostomata
taxon:7777 [Chondrichthyes]@class,taxon:7776 [Gnathostomata]@clade,class,Chondrichthyes
taxon:7778 [Elasmobranchii]@subclass,taxon:7777 [Chondrichthyes]@class,subclass,Elasmobranchii
taxon:6219 [Heteronemertea]@order,taxon:6218 [Pilidiophora]@class,order,Heteronemertea
taxon:33467 [Priapulida]@phylum,taxon:1215728 [Scalidophora]@superphylum,phylum,Priapulida
taxon:117893 [Batoidea]@superorder,taxon:7778 [Elasmobranchii]@subclass,superorder,Batoidea
taxon:117887 [Rhinopristiformes]@order,taxon:117893 [Batoidea]@superorder,order,Rhinopristiformes
taxon:197563 [Mandibulata]@clade,taxon:6656 [Arthropoda]@phylum,clade,Mandibulata
taxon:1158977 [Batoidea incertae sedis]@no rank,taxon:117893 [Batoidea]@superorder,no rank,Batoidea incertae sedis
taxon:7860 [Rhinobatidae]@family,taxon:117887 [Rhinopristiformes]@order,family,Rhinobatidae
taxon:6448 [Gastropoda]@class,taxon:6447 [Mollusca]@phylum,class,Gastropoda
taxon:117569 [Hyperoartia]@class,taxon:1476529 [Cyclostomata]@clade,class,Hyperoartia
taxon:216275 [Vetigastropoda]@subclass,taxon:6448 [Gastropoda]@class,subclass,Vetigastropoda
taxon:117570 [Teleostomi]@clade,taxon:7776 [Gnathostomata]@clade,clade,Teleostomi
taxon:43120 [Entoprocta]@phylum,taxon:1206795 [Lophotrochozoa]@clade,phylum,Entoprocta
taxon:117571 [Euteleostomi]@clade,taxon:117570 [Teleostomi]@clade,clade,Euteleostomi
taxon:6222 [Lineidae]@family,taxon:6219 [Heteronemertea]@order,family,Lineidae
taxon:119089 [Chromadorea]@class,taxon:6231 [Nematoda]@phylum,class,Chromadorea
taxon:117848 [Platyrhinidae]@family,taxon:1158977 [Batoidea incertae sedis]@no rank,family,Platyrhinidae
taxon:119203 [Selachii]@infraclass,taxon:7778 [Elasmobranchii]@subclass,infraclass,Selachii
taxon:6854 [Arachnida]@class,taxon:6843 [Chelicerata]@subphylum,class,Arachnida
taxon:119197 [Galeomorphii]@clade,taxon:119203 [Selachii]@infraclass,clade,Galeomorphii
taxon:8287 [Sarcopterygii]@superclass,taxon:117571 [Euteleostomi]@clade,superclass,Sarcopterygii
taxon:6236 [Rhabditida]@order,taxon:119089 [Chromadorea]@class,order,Rhabditida
taxon:6223 [Lineus]@genus,taxon:6222 [Lineidae]@family,genus,Lineus
taxon:41356 [Solifugae]@order,taxon:6854 [Arachnida]@class,order,Solifugae
taxon:231594 [Loxosomatidae]@family,taxon:43120 [Entoprocta]@phylum,family,Loxosomatidae
taxon:6893 [Araneae]@order,taxon:6854 [Arachnida]@class,order,Araneae
taxon:7863 [Holocephali]@subclass,taxon:7777 [Chondrichthyes]@class,subclass,Holocephali
taxon:117851 [Myliobatiformes]@order,taxon:117893 [Batoidea]@superorder,order,Myliobatiformes
taxon:7861 [Rhinobatos]@genus,taxon:7860 [Rhinobatidae]@family,genus,Rhinobatos
taxon:117888 [Torpediniformes]@order,taxon:117893 [Batoidea]@superorder,order,Torpediniformes
taxon:7745 [Petromyzontiformes]@order,taxon:117569 [Hyperoartia]@class,order,Petromyzontiformes
taxon:117884 [Rhinidae]@family,taxon:117887 [Rhinopristiformes]@order,family,Rhinidae
taxon:42863 [Rhinobatos hynnicephalus]@species,taxon:7861 [Rhinobatos]@genus,species,Rhinobatos hynnicephalus
taxon:30480 [Torpedinidae]@family,taxon:117888 [Torpediniformes]@order,family,Torpedinidae
taxon:119196 [Heterodontoidea]@superorder,taxon:119197 [Galeomorphii]@clade,superorder,Heterodontoidea
taxon:7858 [Rajiformes]@order,taxon:117893 [Batoidea]@superorder,order,Rajiformes
taxon:118040 [Squalomorphii]@clade,taxon:119203 [Selachii]@infraclass,clade,Squalomorphii
taxon:30495 [Hexanchiformes]@order,taxon:118040 [Squalomorphii]@clade,order,Hexanchiformes
taxon:1338369 [Dipnotetrapodomorpha]@clade,taxon:8287 [Sarcopterygii]@superclass,clade,Dipnotetrapodomorpha
taxon:32523 [Tetrapoda]@clade,taxon:1338369 [Dipnotetrapodomorpha]@clade,clade,Tetrapoda
taxon:61977 [Amblypygi]@order,taxon:6854 [Arachnida]@class,order,Amblypygi
taxon:2082883 [Priapulimorpha]@class,taxon:33467 [Priapulida]@phylum,class,Priapulimorpha
taxon:117849 [Platyrhina]@genus,taxon:117848 [Platyrhinidae]@family,genus,Platyrhina
taxon:7898 [Actinopterygii]@superclass,taxon:117571 [Euteleostomi]@clade,superclass,Actinopterygii
taxon:117839 [Dasyatoidea]@superfamily,taxon:117851 [Myliobatiformes]@order,superfamily,Dasyatoidea
taxon:30469 [Dasyatidae]@family,taxon:117839 [Dasyatoidea]@superfamily,family,Dasyatidae
taxon:117835 [Urogymnus]@genus,taxon:30469 [Dasyatidae]@family,genus,Urogymnus
taxon:7864 [Chimaeriformes]@order,taxon:7863 [Holocephali]@subclass,order,Chimaeriformes
taxon:30475 [Rajidae]@family,taxon:7858 [Rajiformes]@order,family,Rajidae
taxon:8292 [Amphibia]@class,taxon:32523 [Tetrapoda]@clade,class,Amphibia
taxon:3363395 [Caliraja]@genus,taxon:30475 [Rajidae]@family,genus,Caliraja
taxon:197562 [Pancrustacea]@clade,taxon:197563 [Mandibulata]@clade,clade,Pancrustacea
taxon:186623 [Actinopteri]@class,taxon:7898 [Actinopterygii]@superclass,class,Actinopteri
taxon:7786 [Torpedo]@genus,taxon:30480 [Torpedinidae]@family,genus,Torpedo
taxon:119195 [Galeoidea]@superorder,taxon:119197 [Galeomorphii]@clade,superorder,Galeoidea
taxon:118512 [Ammotrechidae]@family,taxon:41356 [Solifugae]@order,family,Ammotrechidae
taxon:2800422 [Glaucostegidae]@family,taxon:117887 [Rhinopristiformes]@order,family,Glaucostegidae
taxon:117865 [Rajella]@genus,taxon:30475 [Rajidae]@family,genus,Rajella
taxon:56195 [Lineus viridis]@species,taxon:6223 [Lineus]@genus,species,Lineus viridis
taxon:118072 [Coelacanthimorpha]@clade,taxon:8287 [Sarcopterygii]@superclass,clade,Coelacanthimorpha
taxon:393180 [Loxocorone]@genus,taxon:231594 [Loxosomatidae]@family,genus,Loxocorone
taxon:3342087 [Taeniurops]@genus,taxon:30469 [Dasyatidae]@family,genus,Taeniurops
taxon:2315720 [Trochida]@order,taxon:216275 [Vetigastropoda]@subclass,order,Trochida
taxon:55129 [Pristidae]@family,taxon:117887 [Rhinopristiformes]@order,family,Pristidae
taxon:7894 [Coelacanthiformes]@order,taxon:118072 [Coelacanthimorpha]@clade,order,Coelacanthiformes
taxon:117879 [Rhynchobatidae]@family,taxon:117887 [Rhinopristiformes]@order,family,Rhynchobatidae
taxon:32439 [Dasyatis]@genus,taxon:30469 [Dasyatidae]@family,genus,Dasyatis
taxon:1804737 [Tetronarce]@genus,taxon:30480 [Torpedinidae]@family,genus,Tetronarce
taxon:117853 [Amblyraja]@genus,taxon:30475 [Rajidae]@family,genus,Amblyraja
taxon:41666 [Batrachia]@superorder,taxon:8292 [Amphibia]@class,superorder,Batrachia
taxon:7865 [Callorhinchidae]@family,taxon:7864 [Chimaeriformes]@order,family,Callorhinchidae
taxon:117880 [Rhynchobatus]@genus,taxon:117879 [Rhynchobatidae]@family,genus,Rhynchobatus
taxon:1352415 [Hongeo]@genus,taxon:30475 [Rajidae]@family,genus,Hongeo
taxon:117867 [Arhynchobatidae]@family,taxon:7858 [Rajiformes]@order,family,Arhynchobatidae
taxon:3363546 [Caliraja rhina]@species,taxon:3363395 [Caliraja]@genus,species,Caliraja rhina
taxon:32440 [Chondrostei]@subclass,taxon:186623 [Actinopteri]@class,subclass,Chondrostei
taxon:6960 [Hexapoda]@subphylum,taxon:197562 [Pancrustacea]@clade,subphylum,Hexapoda
taxon:117872 [Notoraja]@genus,taxon:117867 [Arhynchobatidae]@family,genus,Notoraja
taxon:117885 [Rhina]@genus,taxon:117884 [Rhinidae]@family,genus,Rhina
taxon:1930091 [Telatrygon]@genus,taxon:30469 [Dasyatidae]@family,genus,Telatrygon
taxon:117866 [Rostroraja]@genus,taxon:30475 [Rajidae]@family,genus,Rostroraja
taxon:40665 [Narcinidae]@family,taxon:117888 [Torpediniformes]@order,family,Narcinidae
taxon:134992 [Rhinochimaeridae]@family,taxon:7864 [Chimaeriformes]@order,family,Rhinochimaeridae
taxon:282414 [Squaliformes]@order,taxon:118040 [Squalomorphii]@clade,order,Squaliformes
taxon:1072510 [Anacanthobatidae]@family,taxon:7858 [Rajiformes]@order,family,Anacanthobatidae
taxon:417957 [Rajella kukujevi]@species,taxon:117865 [Rajella]@genus,species,Rajella kukujevi
taxon:55132 [Pristiophoriformes]@superorder,taxon:118040 [Squalomorphii]@clade,superorder,Pristiophoriformes
taxon:7866 [Callorhinchus]@genus,taxon:7865 [Callorhinchidae]@family,genus,Callorhinchus
taxon:7869 [Chimaeridae]@family,taxon:7864 [Chimaeriformes]@order,family,Chimaeridae
taxon:6905 [Araneomorphae]@suborder,taxon:6893 [Araneae]@order,suborder,Araneomorphae
taxon:30483 [Carcharhiniformes]@order,taxon:119195 [Galeoidea]@superorder,order,Carcharhiniformes
taxon:7746 [Petromyzontidae]@family,taxon:7745 [Petromyzontiformes]@order,family,Petromyzontidae
taxon:8293 [Caudata]@order,taxon:41666 [Batrachia]@superorder,order,Caudata
taxon:41665 [Neopterygii]@subclass,taxon:186623 [Actinopteri]@class,subclass,Neopterygii
taxon:117924 [Centrophoridae]@family,taxon:282414 [Squaliformes]@order,family,Centrophoridae
taxon:117862 [Malacoraja]@genus,taxon:30475 [Rajidae]@family,genus,Malacoraja
taxon:55139 [Squatiniformes]@superorder,taxon:118040 [Squalomorphii]@clade,superorder,Squatiniformes
taxon:195337 [Tetronarce tokionis]@species,taxon:1804737 [Tetronarce]@genus,species,Tetronarce tokionis
taxon:212736 [Centrophorus]@genus,taxon:117924 [Centrophoridae]@family,genus,Centrophorus
taxon:2082909 [Priapulimorphida]@order,taxon:2082883 [Priapulimorpha]@class,order,Priapulimorphida
taxon:1158984 [Urolophoidea]@superfamily,taxon:117851 [Myliobatiformes]@order,superfamily,Urolophoidea
taxon:30364 [Cryptobranchoidea]@superfamily,taxon:8293 [Caudata]@order,superfamily,Cryptobranchoidea
taxon:1158979 [Myliobatidae]@family,taxon:117851 [Myliobatiformes]@order,family,Myliobatidae
taxon:30496 [Lamniformes]@order,taxon:119195 [Galeoidea]@superorder,order,Lamniformes
taxon:117892 [Narkidae]@family,taxon:117888 [Torpediniformes]@order,family,Narkidae
taxon:7850 [Alopiidae]@family,taxon:30496 [Lamniformes]@order,family,Alopiidae
taxon:86362 [Himantura]@genus,taxon:30469 [Dasyatidae]@family,genus,Himantura
taxon:317662 [Phrynichidae]@family,taxon:61977 [Amblypygi]@order,family,Phrynichidae
taxon:7855 [Hexanchidae]@family,taxon:30495 [Hexanchiformes]@order,family,Hexanchidae
